,RF Prediction,XGB Prediction,Reg Prediction,Actual
0,366886.4090236162,412872.40625,424043.6692644145,371000
1,301468.3262933928,334349.15625,357790.9206947289,313000
2,532946.6492788759,562228.75,457931.4806494128,900000
3,632190.5408235536,614574.6875,742948.9277477261,605000
4,197801.69421231092,225645.453125,258953.03655773884,200000
5,1734555.2591445476,1947805.625,1496394.1394195033,1740000
6,276458.2958784591,272568.4375,324720.4186539758,299000
7,817514.5528946652,813800.375,956155.8086369125,775000
8,293319.3433207896,293949.34375,306967.4345887623,294900
9,355843.5440662906,353416.6875,374169.5112511499,388500
10,579303.7999910442,575981.125,475778.2599655266,720000
11,610243.0013917875,578405.3125,536205.0032954363,580000
12,365326.98546153406,371533.625,404432.66173814714,400000
13,241389.60763428218,248744.125,278976.0539364214,263000
14,235397.118218077,333180.6875,331045.2755424488,615000
15,334025.11223560077,345291.6875,382660.75880138297,320000
16,407170.6105997076,410313.15625,382855.63057545846,535610
17,454395.71848584485,358385.625,345799.6569952236,520000
18,510305.70824564435,434780.40625,381566.92825094645,438500
19,249786.78937716965,280447.75,320910.6543101623,275000
20,952909.4278525801,965512.75,1216103.5340786714,750000
21,557551.4450544596,494762.71875,434081.0549607742,479000
22,373166.66227573925,384822.53125,450186.5706848451,322000
23,268935.5126952319,302991.1875,299937.35430623643,296000
24,270530.0544350261,280559.5625,285273.43803542136,165000
25,619779.5090128268,574792.0625,584725.835601453,979700
26,536913.1389282512,505566.21875,470838.1578772671,590000
27,553336.0701633726,594363.375,529793.2721032276,490000
28,514329.8237412144,502244.59375,456989.8856173092,385000
29,500295.9213229505,466405.9375,456565.5282796803,475000
30,184265.40622435158,199254.890625,218462.45573670807,306500
31,446787.18060618587,394176.0625,426092.0460347675,390000
32,529672.322677922,572825.875,530538.7619987212,681716
33,248423.51116932312,263549.5,296942.8605262989,269000
34,355052.0968488952,365079.65625,339169.2003331727,392500
35,321335.5265488716,314920.40625,337579.3184843794,360000
36,2699944.1812564014,2849730.0,2540849.800030315,3200000
37,308378.223557332,338181.65625,355433.43333280535,339999
38,460719.2619468206,373758.65625,342124.10256466945,300000
39,1180707.334447623,1064744.375,780572.1575935588,1750000
40,403960.7394562298,448665.6875,403416.67325456394,571000
41,284764.0092770416,274274.5625,285300.4944421855,322500
42,780727.74257159,752226.125,957238.7170690999,829000
43,275516.00136928813,262596.65625,306232.23946289736,268500
44,967554.4985321446,725854.4375,662350.4807921898,615000
45,536604.0632903221,515774.15625,442196.3923385833,549000
46,546659.0083982717,422016.53125,412448.7455471674,594000
47,274130.4872186076,256824.234375,275325.5173371256,210000
48,413668.20380343153,435178.25,363132.69768207474,663500
49,555934.9814535496,596275.5,616741.4882753557,475000
50,469959.700058391,403263.25,344506.5490275999,400000
51,968566.1298579236,953036.375,1034084.1944918939,901000
