primary_city,city_rank,avg_price
Medina,1.0,"1,910,000.00"
Mercer Island,2.0,"993,750.00"
Bellevue,3.0,"746,000.00"
Sammamish,4.0,"690,000.00"
Redmond,5.0,"625,000.00"
Issaquah,6.0,"572,000.00"
Woodinville,7.0,"567,500.00"
Kirkland,8.0,"510,000.00"
Snoqualmie,9.0,"500,000.00"
Bothell,10.0,"470,000.00"
Vashon,11.0,"465,000.00"
Fall City,12.0,"462,500.00"
Seattle,13.0,"453,000.00"
Kenmore,14.0,"442,500.00"
Carnation,15.0,"415,000.00"
Duvall,16.0,"401,250.00"
North Bend,17.0,"399,500.00"
Black Diamond,18.0,"359,999.00"
Renton,19.0,"358,500.00"
Maple Valley,20.0,"342,000.00"
Kent,21.0,"284,000.00"
Enumclaw,22.0,"279,500.00"
Auburn,23.0,"270,000.00"
Federal Way,24.0,"268,475.00"
